Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9133489461358314,0.9725618466238711,0.9208103130755064,0.9416195856873822,0.931098696461825,0.8147877461187076
Decision Tree,0.9836065573770492,0.9807536454962597,0.9813780260707635,0.992467043314501,0.9868913857677902,0.9651266979901736
K-Nearest Neighbors,0.8852459016393442,0.9535195582842118,0.8972477064220183,0.9209039548022598,0.9089219330855018,0.7543958228007208
Naive Bayes,0.6217798594847775,0.7995195699451354,0.6217798594847775,1.0,0.7667870036101083,0.0
Random Forest (Ensemble),0.9824355971896955,0.9989184493303714,0.9813432835820896,0.9905838041431262,0.985941893158388,0.9626173640293206
